rerun_config_id,source_config_id,source_report,config_key,config_key_label,config_id,opponent_mode,rule_kl_coef,entropy_coef,lr,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,iteration,seed,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count
0,105,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.02}",rulebase/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rulebase,0.02,0.01,3e-05,0,0,0,0,0,30760425,0.0,0.0,1.4496026039123535,-5.446117778973303e-09,1.0,4.530201476882212e-05,8.518269169144332e-05,0.0,0.5,0.125,0.0,122,8,0.0,0.0,0,0.0,0.0,0,,,,,
0,105,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.02}",rulebase/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rulebase,0.02,0.01,3e-05,0,0,0,0,1,30770425,6.543913631459897e-13,0.0,1.479915738105774,-2.3859437092710323e-08,1.0,0.00011613115930231288,0.0002186799538321793,0.0,0.0,0.375,0.0,120,8,0.0,0.0,0,0.0,0.0,0,,,,,
0,105,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.02}",rulebase/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rulebase,0.02,0.01,3e-05,0,0,0,0,2,30780425,2.431912310418838e-12,0.0,1.3389744758605957,6.28266505486863e-09,1.0,0.00014565116725862026,0.0002959779230877757,0.0,0.0625,0.375,0.0,117,8,0.0,0.0,0,0.0,0.0,0,,,,,
0,105,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.02}",rulebase/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rulebase,0.02,0.01,3e-05,0,0,0,0,3,30790425,5.613621546773917e-12,0.0,1.3760333061218262,-9.420896951439772e-09,1.0,0.00017983309226110578,0.0003027860657311976,0.0,-0.375,0.5,0.0,109,8,0.0,0.0,0,0.0,0.0,0,,,,,
0,105,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.02}",rulebase/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rulebase,0.02,0.01,3e-05,0,0,0,0,4,30800425,1.150501569013862e-11,0.0,1.4063060283660889,-1.4143797244514644e-08,1.0,0.000235138155403547,0.00041267939377576113,0.0,0.8125,0.0,0.0,127,8,0.0,0.0,0,0.0,0.0,0,,,,,
1,45,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.02,0.01,3e-05,0,0,0,0,0,24760425,0.0,0.0,1.4127665758132935,6.0947984437120795e-09,1.0,4.606625225278549e-05,9.730229066917673e-05,0.0,-1.1875,0.875,0.0,101,8,0.0,0.0,0,0.0,0.0,0,,,,,
1,45,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.02,0.01,3e-05,0,0,0,0,1,24770425,4.592637576662784e-13,0.0,1.4723321199417114,-1.8938163037773847e-08,1.0,4.8368190618930385e-05,0.00012350772158242762,0.0,-0.75,0.625,0.0,100,8,0.0,0.0,0,0.0,0.0,0,,,,,
1,45,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.02,0.01,3e-05,0,0,0,0,2,24780425,1.0044950982113221e-12,0.0,1.4433656930923462,-5.51116841052135e-09,1.0,2.0775891243829392e-05,8.865529525792226e-05,0.0,0.3125,0.25,0.0,128,8,0.0,0.0,0,0.0,0.0,0,,,,,
1,45,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.02,0.01,3e-05,0,0,0,0,3,24790425,1.8615508440289474e-12,0.0,1.354919672012329,1.885397971079783e-08,1.0,3.849510176223703e-05,0.00015781604452058673,0.0,0.5,0.125,0.0,125,8,0.0,0.0,0,0.0,0.0,0,,,,,
1,45,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.02,0.01,3e-05,0,0,0,0,4,24800425,5.5814289821876084e-12,0.0,1.4519621133804321,-9.35227983944742e-09,1.0,5.366663390304893e-05,0.00017642071179579943,0.0,-0.0625,0.375,0.0,134,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,0,24860425,0.0,0.0,1.3873827457427979,1.037609109744153e-09,1.0,5.7220840972149745e-05,0.0001852888090070337,0.0,-0.375,0.5,0.0,117,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,1,24870425,5.432846880704112e-12,0.0,1.448606252670288,7.218834419120412e-09,1.0,0.00013836566358804703,0.00039359304355457425,0.0,-0.125,0.375,0.0,117,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,2,24880425,8.266146447888367e-12,0.0,1.407481074333191,-8.442743393288765e-09,1.0,0.00022901076590642333,0.00048285245429724455,0.0,-0.3125,0.5,0.0,116,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,3,24890425,7.3793141736056e-12,0.0,1.3949620723724365,-1.7467820967453918e-08,1.0,0.00027771206805482507,0.0005330655258148909,0.0,-0.0625,0.375,0.0,111,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,4,24900425,1.7706860283572823e-11,0.0,1.476533055305481,-2.019065092895289e-08,1.0,0.00027437400422059,0.000539162487257272,0.0,-0.6875,0.625,0.0,118,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,0,25960425,0.0,0.0,1.373516321182251,-1.7296769572183734e-10,1.0,5.414471888798289e-05,0.00011035234638256952,0.0,0.0,0.375,0.0,125,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,1,25970425,8.616747723330653e-13,0.0,1.3087365627288818,-1.88297857306452e-08,1.0,8.381933002965525e-05,0.0001842359924921766,0.0,0.1875,0.25,0.0,94,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,2,25980425,1.4104959604813172e-12,0.0,1.4539655447006226,-8.946392959785499e-09,1.0,0.0001015507077681832,0.0002113212540280074,0.0,-0.6875,0.625,0.0,123,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,3,25990425,2.14420820508765e-12,0.0,1.4959865808486938,-1.596563237171722e-08,1.0,9.14598349481821e-05,0.00020303350174799562,0.0,0.0,0.375,0.0,113,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,4,26000425,1.9522161665008753e-12,0.0,1.3938078880310059,1.6162927662932702e-09,1.0,9.804568253457546e-05,0.0003065199707634747,0.0,-0.0625,0.375,0.0,98,8,0.0,0.0,0,0.0,0.0,0,,,,,
4,64,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.001,""lr"":0.0001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.001/lr=0.0001,0,rulebase,0.0,0.001,0.0001,0,0,0,0,0,26660425,0.0,0.0,1.4382853507995605,-1.3488870465039327e-08,1.0,4.389764944789931e-05,0.00018588517559692264,0.0,-0.25,0.375,0.0,106,8,0.0,0.0,0,0.0,0.0,0,,,,,
4,64,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.001,""lr"":0.0001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.001/lr=0.0001,0,rulebase,0.0,0.001,0.0001,0,0,0,0,1,26670425,5.797900354265195e-12,0.0,1.4290095567703247,-2.0858415439306555e-08,1.0,0.00013905094237998128,0.00040025930502451956,0.0,0.0625,0.375,0.0,114,8,0.0,0.0,0,0.0,0.0,0,,,,,
4,64,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.001,""lr"":0.0001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.001/lr=0.0001,0,rulebase,0.0,0.001,0.0001,0,0,0,0,2,26680425,4.570852377150381e-12,0.0,1.461092472076416,7.264832291298262e-09,1.0,0.0002582048764452338,0.0005841393722221255,0.0,-0.4375,0.5,0.0,121,8,0.0,0.0,0,0.0,0.0,0,,,,,
4,64,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.001,""lr"":0.0001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.001/lr=0.0001,0,rulebase,0.0,0.001,0.0001,0,0,0,0,3,26690425,2.2476335029275596e-11,0.0,1.3927162885665894,-6.552469677956196e-09,1.0,0.00037195137701928616,0.0009492100798524916,0.0,-0.125,0.375,0.0,117,8,0.0,0.0,0,0.0,0.0,0,,,,,
4,64,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.001,""lr"":0.0001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.001/lr=0.0001,0,rulebase,0.0,0.001,0.0001,0,0,0,0,4,26700425,3.670748427442305e-11,0.0,1.4426264762878418,3.046942032014499e-09,1.0,0.0004557410429697484,0.0011239196173846722,0.0,-0.0625,0.375,0.0,125,8,0.0,0.0,0,0.0,0.0,0,,,,,
5,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,rulebase,0.01,0.0,3e-05,0,0,0,0,0,28660425,0.0,0.0,1.457595944404602,4.46670878062605e-09,1.0,1.3408970517048147e-05,4.7145422286121175e-05,0.0,-0.0625,0.375,0.0,111,8,0.0,0.0,0,0.0,0.0,0,,,,,
5,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,rulebase,0.01,0.0,3e-05,0,0,0,0,1,28670425,2.43878322484653e-13,0.0,1.3916990756988525,-8.856066990858835e-09,1.0,2.2246549633564427e-05,8.815300679998472e-05,0.0,-0.1875,0.375,0.0,109,8,0.0,0.0,0,0.0,0.0,0,,,,,
5,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,rulebase,0.01,0.0,3e-05,0,0,0,0,2,28680425,5.100880113260986e-13,0.0,1.3824175596237183,-2.2670942900759883e-09,1.0,2.6135287043871358e-05,8.379330392926931e-05,0.0,0.25,0.25,0.0,112,8,0.0,0.0,0,0.0,0.0,0,,,,,
5,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,rulebase,0.01,0.0,3e-05,0,0,0,0,3,28690425,1.7514082632091865e-12,0.0,1.473734736442566,-7.026146775501729e-09,1.0,3.765642031794414e-05,0.00010896060121012852,0.0,-0.125,0.375,0.0,106,8,0.0,0.0,0,0.0,0.0,0,,,,,
5,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,rulebase,0.01,0.0,3e-05,0,0,0,0,4,28700425,3.4239874390634695e-12,0.0,1.4618858098983765,-1.675131500178395e-08,1.0,4.6311019104905427e-05,0.00012886039621662349,0.0,-0.625,0.625,0.0,119,8,0.0,0.0,0,0.0,0.0,0,,,,,
6,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,0,rule_prior_greedy,0.0,0.005,0.0003,0,0,0,0,0,21060425,0.0,0.0,1.4751547574996948,-3.442364837624723e-09,1.0,0.0003407371405046433,0.0005730674020014703,0.0,-0.625,0.625,0.0,119,8,0.0,0.0,0,0.0,0.0,0,,,,,
6,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,0,rule_prior_greedy,0.0,0.005,0.0003,0,0,0,0,1,21070425,6.580494482655297e-11,0.0,1.4404425621032715,6.9541172820208885e-09,1.0,0.00015063368482515216,0.0007502812659367919,0.0,0.3125,0.25,0.0,129,8,0.0,0.0,0,0.0,0.0,0,,,,,
6,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,0,rule_prior_greedy,0.0,0.005,0.0003,0,0,0,0,2,21080425,4.06832172117344e-11,0.0,1.4600476026535034,-2.0460722893744787e-08,1.0,0.000281657965388149,0.0011373230954632163,0.0,-1.25,0.875,0.0,96,8,0.0,0.0,0,0.0,0.0,0,,,,,
6,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,0,rule_prior_greedy,0.0,0.005,0.0003,0,0,0,0,3,21090425,1.0349283235955298e-10,0.0,1.4435083866119385,9.455929372848004e-10,1.0,0.00046896294225007296,0.0013033286668360233,0.0,-0.4375,0.5,0.0,102,8,0.0,0.0,0,0.0,0.0,0,,,,,
6,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,0,rule_prior_greedy,0.0,0.005,0.0003,0,0,0,0,4,21100425,1.403211852268882e-10,0.0,1.453312873840332,-8.596136247263075e-09,1.0,0.0006289294688031077,0.0016552373999729753,0.0,0.25,0.25,0.0,111,8,0.0,0.0,0,0.0,0.0,0,,,,,
7,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,0,rulebase,0.01,0.01,3e-05,0,0,0,0,0,29560425,0.0,0.0,1.4650810956954956,-4.226293093267941e-09,1.0,3.204265522072092e-05,7.383273623418063e-05,0.0,0.25,0.25,0.0,106,8,0.0,0.0,0,0.0,0.0,0,,,,,
7,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,0,rulebase,0.01,0.01,3e-05,0,0,0,0,1,29570425,8.326594080031169e-13,0.0,1.42678964138031,-1.2466785825893112e-08,1.0,3.827390537480824e-05,9.274295007344335e-05,0.0,-0.0625,0.375,0.0,113,8,0.0,0.0,0,0.0,0.0,0,,,,,
7,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,0,rulebase,0.01,0.01,3e-05,0,0,0,0,2,29580425,1.778278587750981e-12,0.0,1.4362404346466064,-1.293932339052617e-08,1.0,5.1589599024737254e-05,0.00012890974176116288,0.0,0.1875,0.25,0.0,110,8,0.0,0.0,0,0.0,0.0,0,,,,,
7,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,0,rulebase,0.01,0.01,3e-05,0,0,0,0,3,29590425,3.6793723449946025e-12,0.0,1.4173052310943604,-1.6699786442586628e-08,1.0,6.83999533066526e-05,0.00013426216901279986,0.0,0.3125,0.25,0.0,124,8,0.0,0.0,0,0.0,0.0,0,,,,,
7,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,0,rulebase,0.01,0.01,3e-05,0,0,0,0,4,29600425,3.2554466934675563e-12,0.0,1.3764002323150635,-1.6278324466156846e-08,1.0,9.396303357789293e-05,0.00021440908312797546,0.0,0.25,0.25,0.0,114,8,0.0,0.0,0,0.0,0.0,0,,,,,
