actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,terminal_reward_mean,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.4659963147393588,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,29,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,5,rulebase,zero,0,24,tempered_current_logits,0,0.19867555180500293,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,unrestricted,0.39655172413793105,8,0.0,0.75,0
0.75,all,3,0.290592036396265,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,20,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,5,rulebase,zero,0,15,tempered_current_logits,0,0.00981685072183609,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,unrestricted,0.175,8,0.0,0.75,0
0.75,all,3,0.05250209391117096,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,25,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,9,rulebase,zero,0,16,tempered_current_logits,0,-0.1666571468114853,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,unrestricted,-0.04,8,0.0,0.75,0
0.75,all,3,0.2745004178121172,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,29,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,6,rulebase,zero,0,23,tempered_current_logits,0,0.0472762011762323,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,unrestricted,0.27586206896551724,8,0.0,0.75,0
0.75,all,3,0.2764654092490673,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,20,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,5,rulebase,zero,0,15,tempered_current_logits,0,0.03751316219568253,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,unrestricted,0.15,8,0.0,0.75,0
0.75,all,3,0.6496091359540036,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,19,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,1,rulebase,zero,0,18,tempered_current_logits,0,0.375575989484787,0.001,0.25,keqingrl_rule_score_scale_v1,6,93,unrestricted,0.7368421052631579,8,0.0,0.75,0
0.75,all,3,0.33437579057433386,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,11,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,2,rulebase,zero,0,9,tempered_current_logits,0,0.11130878193811937,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,unrestricted,0.4090909090909091,8,0.0,0.75,0
0.75,all,3,0.5031733591305582,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,19,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,3,rulebase,zero,0,16,tempered_current_logits,0,0.26093750407821253,0.001,0.25,keqingrl_rule_score_scale_v1,8,93,unrestricted,0.4473684210526316,8,0.0,0.75,0
0.75,all,3,0.6840946372184489,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,0,rulebase,zero,0,18,tempered_current_logits,0,0.42251649623115856,0.001,0.25,keqingrl_rule_score_scale_v1,9,93,unrestricted,0.7777777777777778,8,0.0,0.75,0
0.75,all,3,0.05437974135080973,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,6,rulebase,zero,0,12,tempered_current_logits,0,-0.1749546950062116,0.001,0.25,keqingrl_rule_score_scale_v1,10,93,unrestricted,0.0,8,0.0,0.75,0
0.75,all,3,0.6065256277720134,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,15,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,0,rulebase,zero,0,15,tempered_current_logits,0,0.36890466312567394,0.001,0.25,keqingrl_rule_score_scale_v1,11,93,unrestricted,0.6333333333333333,8,0.0,0.75,0
0.75,all,3,0.24392017722129822,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,15,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,4,rulebase,zero,0,11,tempered_current_logits,0,-0.03697131375471751,0.001,0.25,keqingrl_rule_score_scale_v1,12,93,unrestricted,0.26666666666666666,8,0.0,0.75,0
0.75,all,3,0.8864266450206438,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,0,rulebase,zero,0,3,tempered_current_logits,0,0.6064812367161115,0.001,0.25,keqingrl_rule_score_scale_v1,13,93,unrestricted,0.8333333333333334,8,0.0,0.75,0
0.75,all,3,1.088186502456665,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,1,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,0,rulebase,zero,0,1,tempered_current_logits,0,0.6696212887763977,0.001,0.25,keqingrl_rule_score_scale_v1,14,93,unrestricted,1.0,8,0.0,0.75,0
0.75,all,3,0.31505139065640314,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,28,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,12,rulebase,zero,0,16,tempered_current_logits,0,-0.4089611257825579,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,unrestricted,-0.10714285714285714,8,0.0,0.75,0
0.75,all,3,0.47119984527428943,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,24,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,11,rulebase,zero,0,13,tempered_current_logits,0,-0.3485836386680603,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,unrestricted,-0.20833333333333334,8,0.0,0.75,0
0.75,all,3,0.4324232089519501,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,25,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,9,rulebase,zero,0,16,tempered_current_logits,0,-0.27605502903461454,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,unrestricted,0.08,8,0.0,0.75,0
0.75,all,3,0.34823838190028544,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,19,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,9,rulebase,zero,0,10,tempered_current_logits,0,-0.43647252846705287,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,unrestricted,-0.18421052631578946,8,0.0,0.75,0
0.75,all,3,0.8901892953059253,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,16,tempered_current_logits,0,0.16177249831311843,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,unrestricted,0.7352941176470589,8,0.0,0.75,0
0.75,all,3,0.06059068441390991,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,9,rulebase,zero,0,5,tempered_current_logits,0,-0.6972112059593201,0.001,0.25,keqingrl_rule_score_scale_v1,6,93,unrestricted,-0.6785714285714286,8,0.0,0.75,0
0.75,all,3,0.9813542403280735,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,3,rulebase,zero,0,13,tempered_current_logits,0,0.1821235679090023,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,unrestricted,0.46875,8,0.0,0.75,0
0.75,all,3,0.3112194687128067,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,9,rulebase,zero,0,8,tempered_current_logits,0,-0.5370606850175297,0.001,0.25,keqingrl_rule_score_scale_v1,8,93,unrestricted,-0.35294117647058826,8,0.0,0.75,0
0.75,all,3,0.142780335744222,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,15,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,8,tempered_current_logits,0,-0.5383235474427541,0.001,0.25,keqingrl_rule_score_scale_v1,9,93,unrestricted,-0.26666666666666666,8,0.0,0.75,0
0.75,all,3,0.550772198372417,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,5,rulebase,zero,0,13,tempered_current_logits,0,-0.18488583796554142,0.001,0.25,keqingrl_rule_score_scale_v1,10,93,unrestricted,0.25,8,0.0,0.75,0
0.75,all,3,0.33230316499248147,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,9,tempered_current_logits,0,-0.3057663468644023,0.001,0.25,keqingrl_rule_score_scale_v1,11,93,unrestricted,-0.15625,8,0.0,0.75,0
0.75,all,3,-0.26461788921733387,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,8,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,1,tempered_current_logits,0,-0.876250084489584,0.001,0.25,keqingrl_rule_score_scale_v1,12,93,unrestricted,-0.875,8,0.0,0.75,0
0.75,all,3,-0.6141622041662534,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,6,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,5,rulebase,zero,0,1,tempered_current_logits,0,-1.035847393174966,0.001,0.25,keqingrl_rule_score_scale_v1,13,93,unrestricted,-1.0833333333333333,8,0.0,0.75,0
0.75,all,3,-0.5890220999717712,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,1,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,0,tempered_current_logits,0,-1.2875585556030273,0.001,0.25,keqingrl_rule_score_scale_v1,14,93,unrestricted,-1.5,8,0.0,0.75,0
