advantage_max,advantage_mean,advantage_min,advantage_negative_rate,advantage_positive_rate,advantage_std,advantage_zero_rate,batch_size,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,entropy_coef,episodes,iteration,lr,max_grad_norm,mean_delta_needed_to_flip_top1,non_top1_positive_advantage_count,non_top1_selected_count,non_top1_selected_rate,opponent_mode,p10_delta_needed_to_flip_top1,p50_delta_needed_to_flip_top1,p90_delta_needed_to_flip_top1,pilot_config_id,positive_advantage_count,positive_advantage_non_top1_count,positive_advantage_top1_count,rank_coef,ratio_mode,rerun_config_id,return_max,return_mean,return_min,return_std,reward_max,reward_mean,reward_min,reward_nonzero_count,reward_std,rollout_seed,rule_kl_coef,rule_score_scale,sample_entropy_mean,seed_hash,seed_registry_id,selected_non_top1_positive_advantage_count,selected_prior_prob_mean,selected_prior_prob_p90,selected_prior_rank_histogram,selected_prior_rank_mean,selected_prior_top1_rate,source_config_id,tempered_post_update_approx_kl,tempered_post_update_clip_fraction,tempered_post_update_policy_loss,tempered_post_update_rule_kl,torch_sample_seed,untempered_post_batch_size,untempered_post_effective_margin_to_flip_mean,untempered_post_effective_margin_to_flip_p50,untempered_post_effective_margin_to_flip_p90,untempered_post_neural_delta_abs_max,untempered_post_neural_delta_abs_mean,untempered_post_rule_agreement,untempered_post_scaled_prior_margin_mean,untempered_post_scaled_prior_margin_p50,untempered_post_top1_action_changed_rate,untempered_post_update_approx_kl,untempered_post_update_clip_fraction,untempered_pre_batch_size,untempered_pre_effective_margin_to_flip_mean,untempered_pre_effective_margin_to_flip_p50,untempered_pre_effective_margin_to_flip_p90,untempered_pre_neural_delta_abs_max,untempered_pre_neural_delta_abs_mean,untempered_pre_rule_agreement,untempered_pre_scaled_prior_margin_mean,untempered_pre_scaled_prior_margin_p50,untempered_pre_top1_action_changed_rate,update_epochs,value_coef
1.3171274662017822,0.01922266185283661,-1.232460618019104,0.43946188340807174,0.5605381165919282,0.888546347618103,0.0,223,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,0,0.003,1.0,3.0022287368774414,59,105,0.47085201793721976,rulebase,3.0,3.000999927520752,3.006999969482422,0,125,59,66,0.0,tempered_current_logits,0,1.0,-0.22021348774433136,-1.5,0.8984035849571228,1.0,-0.022421523928642273,-1.5,16,0.3307003974914551,202604300000,0.001,1.0,0.0,b9e4928c53bdcc35,config=0:iter=0:base=202604300000:stride=1:count=16,59,0.3677489085482108,0.6914212107658386,"{""1"":118,""10"":8,""11"":6,""12"":1,""2"":14,""3"":11,""4"":9,""5"":10,""6"":9,""7"":15,""8"":14,""9"":8}",3.4349775784753365,0.5291479820627802,93,0.010748359374701977,0.1300448477268219,-0.021406017243862152,0.05215783789753914,202604300000,223,2.757709503173828,2.794955015182495,2.9682180881500244,0.7403922080993652,0.23915456235408783,1.0,3.000147819519043,3.0,0.0,0.0683547630906105,0.8026906251907349,223,3.000157117843628,3.000023603439331,3.0009701251983643,0.00021870987256988883,0.00011945210280828178,1.0,3.000147819519043,3.0,0.0,8,0.0
1.9242717027664185,0.4735281467437744,-1.1795060634613037,0.3045267489711934,0.6954732510288066,0.8736810684204102,0.0,243,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,1,0.003,1.0,3.002851724624634,77,119,0.4897119341563786,rulebase,3.0,3.000999927520752,3.009000062942505,0,169,77,92,0.0,tempered_current_logits,0,1.0,-0.19411785900592804,-1.5,0.7561196088790894,1.0,-0.006172839552164078,-1.5,16,0.28502213954925537,202604300016,0.001,1.0,0.0,c6cd44b27deeed78,config=0:iter=1:base=202604300016:stride=1:count=16,77,0.3490526813845085,0.6687882542610168,"{""1"":124,""10"":10,""11"":11,""12"":10,""13"":7,""14"":2,""2"":14,""3"":11,""4"":12,""5"":8,""6"":8,""7"":8,""8"":11,""9"":7}",4.065843621399177,0.5102880658436214,93,0.011265881359577179,0.16872426867485046,-0.03326801210641861,0.06346631050109863,202604300001,243,2.7299530506134033,2.7765073776245117,3.0227975845336914,1.0799450874328613,0.34024232625961304,1.0,3.000119209289551,3.0,0.0,0.0667460635304451,0.7037037014961243,243,2.778113842010498,2.8039112091064453,2.987455129623413,0.7424207329750061,0.24515202641487122,1.0,3.000119209289551,3.0,0.0,8,0.0
2.479192018508911,0.17136730253696442,-1.0823655128479004,0.5891089108910891,0.41089108910891087,0.8845060467720032,0.0,202,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,2,0.003,1.0,3.0029356479644775,36,106,0.5247524752475248,rulebase,3.0,3.000999927520752,3.009000062942505,0,83,36,47,0.0,tempered_current_logits,0,1.0,-0.73294997215271,-1.5,0.7755237817764282,1.0,-0.047029703855514526,-1.5,16,0.3322829604148865,202604300032,0.001,1.0,0.0,ba6bcbf6c8a041f9,config=0:iter=2:base=202604300032:stride=1:count=16,36,0.32954820118254363,0.6688328385353088,"{""1"":96,""10"":11,""11"":7,""12"":5,""13"":2,""2"":9,""3"":9,""4"":10,""5"":9,""6"":10,""7"":8,""8"":11,""9"":15}",4.148514851485149,0.4752475247524752,93,0.01489016879349947,0.19801980257034302,-0.04788152128458023,0.06555294990539551,202604300002,202,2.6792421340942383,2.80015230178833,3.1137452125549316,1.608062982559204,0.3070339560508728,1.0,3.0001583099365234,3.0,0.0,0.08625691384077072,0.816831648349762,202,2.7512266635894775,2.8132638931274414,3.045238971710205,1.0034700632095337,0.30459776520729065,1.0,3.0001583099365234,3.0,0.0,8,0.0
1.427732229232788,0.12355951964855194,-1.2507736682891846,0.37554585152838427,0.6244541484716157,0.9015381336212158,0.0,229,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,0,0.003,1.0,3.0043625831604004,113,178,0.777292576419214,rulebase,3.0,3.003999948501587,3.009000062942505,1,143,113,30,0.0,tempered_current_logits,0,1.0,-0.13054949045181274,-1.5,0.8811689019203186,1.0,-0.01965065486729145,-1.5,16,0.33147528767585754,202604400000,0.001,0.5,0.0,b0e05dd13e5b1a98,config=1:iter=0:base=202604400000:stride=1:count=16,113,0.17097538114244762,0.6475072503089905,"{""1"":51,""10"":22,""11"":15,""12"":6,""13"":2,""2"":12,""3"":15,""4"":10,""5"":15,""6"":21,""7"":19,""8"":19,""9"":22}",5.794759825327511,0.22270742358078602,93,0.009924201294779778,0.11353711783885956,-0.021493660286068916,0.3785138726234436,202604400000,229,1.147061824798584,1.1454055309295654,1.4470655918121338,0.832230806350708,0.1486900895833969,1.0,1.5000633001327515,1.5,0.0,0.020735440775752068,0.31877729296684265,229,1.5000569820404053,1.4999969005584717,1.5004578828811646,0.00023308978416025639,0.00011605645704548806,1.0,1.5000633001327515,1.5,0.0,8,0.0
1.1886630058288574,-0.4553889334201813,-1.572107195854187,0.6145833333333334,0.3854166666666667,0.8419809937477112,0.0,192,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,1,0.003,1.0,3.004161834716797,60,149,0.7760416666666666,rulebase,3.0,3.003499984741211,3.009000062942505,1,74,60,14,0.0,tempered_current_logits,0,1.0,-0.5170654654502869,-1.5,0.834542453289032,1.0,-0.0572916679084301,-1.5,16,0.3599030077457428,202604400016,0.001,0.5,0.0,99ea9fe8b1ae6394,config=1:iter=1:base=202604400016:stride=1:count=16,60,0.17258367473065542,0.6686112284660339,"{""1"":43,""10"":7,""11"":17,""12"":6,""13"":4,""14"":2,""2"":13,""3"":12,""4"":11,""5"":20,""6"":15,""7"":11,""8"":17,""9"":14}",5.661458333333333,0.22395833333333334,93,0.008747519925236702,0.1197916716337204,-0.04407033324241638,0.3874466121196747,202604400001,192,1.1921663284301758,1.2401478290557861,1.4587301015853882,1.1933183670043945,0.1725095957517624,1.0,1.5000442266464233,1.5,0.0,0.020119190216064453,0.3020833432674408,192,1.2200746536254883,1.2190955877304077,1.4561561346054077,0.6808590292930603,0.12076827138662338,1.0,1.5000442266464233,1.5,0.0,8,0.0
2.3606247901916504,0.6898375749588013,-1.256474494934082,0.2948717948717949,0.7051282051282052,0.90106201171875,0.0,234,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,2,0.003,1.0,3.0040555000305176,129,183,0.782051282051282,rulebase,3.0,3.003000020980835,3.009999990463257,1,165,129,36,0.0,tempered_current_logits,0,1.0,-0.18648529052734375,-1.5,0.7991171479225159,1.0,-0.0021367522422224283,-1.5,16,0.3013426661491394,202604400032,0.001,0.5,0.0,9778e7e6e2b03829,config=1:iter=2:base=202604400032:stride=1:count=16,129,0.16789105767782173,0.6686112284660339,"{""1"":51,""10"":12,""11"":15,""12"":11,""13"":6,""14"":1,""2"":22,""3"":18,""4"":23,""5"":17,""6"":10,""7"":16,""8"":11,""9"":21}",5.487179487179487,0.21794871794871795,93,0.008571291342377663,0.09401709586381912,-0.03975300118327141,0.3952588737010956,202604400002,234,1.1185181140899658,1.186527132987976,1.494553565979004,1.930388331413269,0.43980541825294495,0.995726466178894,1.500085473060608,1.5,0.004273504484444857,0.02145010605454445,0.34188035130500793,234,1.2048978805541992,1.280832290649414,1.4902034997940063,0.9452579617500305,0.18613731861114502,1.0,1.500085473060608,1.5,0.0,8,0.0
1.5504878759384155,-0.038992706686258316,-1.1883858442306519,0.45064377682403434,0.5493562231759657,0.8575624227523804,0.0,233,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,0,0.003,1.0,3.0045063495635986,113,207,0.8884120171673819,rulebase,3.0,3.003999948501587,3.009000062942505,2,128,113,15,0.0,tempered_current_logits,0,1.0,-0.2966398000717163,-1.5,0.8387569785118103,1.0,-0.02575107291340828,-1.5,16,0.3131282925605774,202604500000,0.001,0.25,0.0,65f85900140c9d77,config=2:iter=0:base=202604500000:stride=1:count=16,113,0.10267780545315518,0.6273432970046997,"{""1"":26,""10"":15,""11"":15,""12"":11,""13"":2,""14"":2,""2"":20,""3"":19,""4"":21,""5"":24,""6"":16,""7"":21,""8"":24,""9"":17}",6.07725321888412,0.11158798283261803,93,0.013023421168327332,0.2360514998435974,-0.020844921469688416,0.5709861516952515,202604500000,233,0.4471692144870758,0.4599030613899231,0.7347635626792908,1.484526515007019,0.472623735666275,0.9613733887672424,0.7500214576721191,0.75,0.03862661123275757,0.020857898518443108,0.30901288986206055,233,0.7500273585319519,0.7500209212303162,0.7500784993171692,0.0002145725884474814,0.00011549866030691192,1.0,0.7500214576721191,0.75,0.0,8,0.0
4.22205924987793,1.2141869068145752,-1.1191961765289307,0.15384615384615385,0.8461538461538461,1.2072856426239014,0.0,221,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,1,0.003,1.0,3.0049049854278564,155,184,0.832579185520362,rulebase,3.0,3.005000114440918,3.009999990463257,2,187,155,32,0.0,tempered_current_logits,0,1.0,-0.8727654218673706,-2.0083506107330322,0.8886017203330994,1.0,-0.024886878207325935,-1.5,16,0.32687413692474365,202604500016,0.001,0.25,0.0,c0e2806e659074c9,config=2:iter=1:base=202604500016:stride=1:count=16,155,0.13958008895834648,0.6475072503089905,"{""1"":37,""10"":24,""11"":13,""12"":14,""13"":6,""14"":1,""2"":16,""3"":19,""4"":9,""5"":13,""6"":18,""7"":11,""8"":19,""9"":21}",6.316742081447964,0.167420814479638,93,0.008039726875722408,0.12217195332050323,-0.041703999042510986,0.5753471851348877,202604500001,221,0.4488087594509125,0.4860011041164398,0.7397962808609009,2.4816105365753174,0.5358026027679443,0.9457013607025146,0.7500543594360352,0.75,0.05429864674806595,0.015292751602828503,0.27149322628974915,221,0.48104897141456604,0.4561379551887512,0.7242527604103088,1.2799882888793945,0.48102426528930664,0.9954751133918762,0.7500543594360352,0.75,0.004524887073785067,8,0.0
5.1118927001953125,1.644137978553772,-1.6771894693374634,0.1324200913242009,0.867579908675799,1.4927805662155151,0.0,219,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,2,0.003,1.0,3.0044610500335693,155,182,0.8310502283105022,rulebase,3.0,3.003999948501587,3.009000062942505,2,190,155,35,0.0,tempered_current_logits,0,1.000000238418579,-0.9242206811904907,-2.311715841293335,0.9182844161987305,1.0,-0.00913241971284151,-1.5,16,0.2944054901599884,202604500032,0.001,0.25,0.0,7341df4bc546da49,config=2:iter=2:base=202604500032:stride=1:count=16,155,0.1398792845541484,0.6686112284660339,"{""1"":37,""10"":33,""11"":14,""12"":6,""13"":1,""2"":11,""3"":18,""4"":23,""5"":17,""6"":12,""7"":18,""8"":13,""9"":16}",5.958904109589041,0.1689497716894977,93,0.011339082382619381,0.2009132355451584,-0.03212694451212883,0.5623863935470581,202604500002,219,0.5184746384620667,0.5825515985488892,0.8096200823783875,1.7183053493499756,0.41800424456596375,0.8949771523475647,0.7500399351119995,0.75,0.10502282530069351,0.015966981649398804,0.26484018564224243,219,0.47885897755622864,0.5382370948791504,0.7991616129875183,2.0410685539245605,0.5589991211891174,0.8904109597206116,0.7500399351119995,0.75,0.10958904027938843,8,0.0
1.535595178604126,0.1723090559244156,-1.295969843864441,0.33624454148471616,0.6637554585152838,0.8381033539772034,0.0,229,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,0,0.003,1.0,3.0047292709350586,137,204,0.8908296943231441,rulebase,3.0,3.005000114440918,3.009999990463257,3,152,137,15,0.0,tempered_current_logits,0,1.0,-0.11132974177598953,-1.5,0.8047316670417786,1.0,-0.006550218444317579,-1.5,16,0.2936011552810669,202604600000,0.001,0.1,0.0,77b5e7c562366c07,config=3:iter=0:base=202604600000:stride=1:count=16,137,0.1005881780262337,0.6273432970046997,"{""1"":25,""10"":17,""11"":15,""12"":10,""13"":4,""14"":1,""2"":15,""3"":18,""4"":18,""5"":24,""6"":18,""7"":30,""8"":18,""9"":16}",6.235807860262009,0.1091703056768559,93,0.016266312450170517,0.22707423567771912,-0.026655718684196472,0.6778568029403687,202604600000,229,0.11659455299377441,0.09372924268245697,0.2847987413406372,1.2054747343063354,0.47861650586128235,0.6331877708435059,0.300014853477478,0.30000001192092896,0.36681222915649414,0.025427794083952904,0.36681222915649414,229,0.3000224828720093,0.30002617835998535,0.3000760078430176,0.00022963149240240455,0.00011698126763803884,1.0,0.300014853477478,0.30000001192092896,0.0,8,0.0
0.8092098832130432,-0.11075551807880402,-1.9547032117843628,0.3441295546558704,0.6558704453441295,0.8266354203224182,0.0,247,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,1,0.003,1.0,3.004737138748169,143,220,0.8906882591093117,rulebase,3.0,3.003999948501587,3.009999990463257,3,162,143,19,0.0,tempered_current_logits,0,1.0,0.09964819252490997,-1.5,0.8500844240188599,1.0,-0.0020242915488779545,-1.5,16,0.29330578446388245,202604600016,0.001,0.1,0.0,72b6b2fafb7ca5a5,config=3:iter=1:base=202604600016:stride=1:count=16,143,0.10072304570089709,0.6273044943809509,"{""1"":27,""10"":23,""11"":18,""12"":15,""13"":6,""14"":1,""2"":34,""3"":18,""4"":18,""5"":21,""6"":14,""7"":13,""8"":23,""9"":16}",6.190283400809717,0.10931174089068826,93,0.012393144890666008,0.19433198869228363,-0.047267988324165344,0.6881946325302124,202604600001,247,0.12993817031383514,0.009490519762039185,0.3960022032260895,1.5439625978469849,0.38768279552459717,0.5020242929458618,0.30002307891845703,0.30000001192092896,0.4979757070541382,0.023217912763357162,0.38461539149284363,247,0.15932594239711761,0.15893268585205078,0.33874940872192383,1.1054068803787231,0.44807109236717224,0.7530364394187927,0.30002307891845703,0.30000001192092896,0.24696357548236847,8,0.0
0.9861965179443359,-0.4863739013671875,-1.9025707244873047,0.6018099547511312,0.39819004524886875,0.8363550305366516,0.0,221,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.005,16,2,0.003,1.0,3.0047104358673096,80,196,0.8868778280542986,rulebase,3.0,3.005000114440918,3.009999990463257,3,88,80,8,0.0,tempered_current_logits,0,1.0,-0.4448072612285614,-1.5,0.8094440698623657,1.0,-0.04977375641465187,-1.5,16,0.3360166549682617,202604600032,0.001,0.1,0.0,4634d0ca3d3ad349,config=3:iter=2:base=202604600032:stride=1:count=16,80,0.10388931419649815,0.6274993419647217,"{""1"":25,""10"":19,""11"":12,""12"":9,""13"":7,""2"":18,""3"":14,""4"":19,""5"":17,""6"":27,""7"":16,""8"":15,""9"":23}",6.271493212669683,0.11312217194570136,93,0.01577792875468731,0.22171947360038757,-0.05067563056945801,0.7291826009750366,202604600002,221,0.07036203891038895,0.0,0.2712039351463318,1.7530474662780762,0.4370710551738739,0.31221717596054077,0.3000126779079437,0.30000001192092896,0.6877828240394592,0.030777642503380775,0.35746607184410095,221,0.07840334624052048,0.0,0.34184393286705017,1.2436447143554688,0.3549406826496124,0.31221717596054077,0.3000126779079437,0.30000001192092896,0.6877828240394592,8,0.0
